id	title	group	nearNode	riskScore	intro
es_recruit	지붕 위의 안테나	companion-first-meet	daejeon,sejong,cheongju,nonsan	14	폐 기지국 지붕에서 여자가 안테나를 돌리고 있다. 수신기 헤드폰을 목에 걸고. 차를 보고도 놀라지 않는다. 오히려 기다렸다는 듯이. "남쪽 번호판. 서울 방향." 여자가 가리킨 건 하늘의 점 하나다. "천리안 관제센터에서 일했어요. 은수라고 해요." 수신기에서 좌표가 반복된다. 은수의 얼굴이 굳는다. "이 근처 잔류자 좌표예요. 내가 예전에 켠 중계기가 아직도 올리고 있어요. 저걸 놔두고 서울로 가면, 난 또 같은 일을 하는 거예요."
meet_scrapyard	자동차 무덤	companion-first-meet	ulsan,gyeongju,pohang,yangsan	13	공단 옆 폐차장. 수백 대의 차가 탑처럼 쌓여 있다. 그 꼭대기에서 불꽃이 튄다. 용접 불꽃. 사람이다. "거기 생활차! 잠깐 세워 봐요!" 앳된 목소리가 차 더미를 타고 내려온다. "엔진 소리, 아까부터 이상해요."
jy_recruit	리어카를 끄는 아이	companion-first-meet	gunsan,mokpo,gimcheon,gumi	12	고물을 산처럼 실은 리어카가 갓길을 간다. 끄는 건 스무 살쯤의 아이. 차를 보더니 리어카를 세우고 팔짱을 낀다. "그 차, 왼쪽 뒤 판스프링 헐거운 거 알아요? 소리 들리는데. 난 재이예요." 재이는 북쪽 길을 묻다가, 무너진 재활용 창고 쪽을 돌아본다. "갈 순 있는데… 저 안에 우리 집 상자가 깔렸어요. 돈 될 건 하나도 없고요. 그래서 더 내가 꺼내야 해요."
cell_dome_meet	돔의 하 여사	resistance-cell	daegu	9	대구 돔 시장 안쪽, 장부와 서류가 산처럼 쌓인 방. 돋보기를 낀 여장부가 만년필로 뭔가를 적고 있다. 전자기기는 하나도 없다. "앉지 말고 서서 말해. 오래 걸릴 일 아니면." 만년필을 놓지도 않는다.
ev_cablecar_hang	멈춘 케이블카	special-node-scene	cablecar	9	계곡을 가로지르는 케이블에 곤돌라 하나가 매달린 채 멈춰 있다. 바람이 불 때마다 끼익, 끼익 흔들린다. 안엔 아무도 없다. 아마도. 누군가 곤돌라 유리에 손가락으로 글씨를 써놨다. "여기 좋다."
lc_chungju_lake	호수의 수몰 마을	local-culture	chungju,danyang	9	가뭄으로 충주호 수위가 내려가 옛 수몰 마을이 드러났다. 30년 만에 물 밖으로 나온 돌담과 우물과 마을 회관 터. 나이 든 사람들이 진흙 위를 조심조심 걷고 있다. "여기가 우리 집이었어."
meet_bus	넘어진 버스	companion-first-meet	gumi,gimcheon,sangju	9	시외버스가 옆으로 누워 있다. 사고는 오래전인데— 안에서 소리가 난다. "거기 누구 있어요?! 문이 안 열려요!" 노인의 목소리다.
meet_hitchhiker	밤의 히치하이커	companion-first-meet	jeonju,gwangju,damyang,namwon,suncheon	9	헤드라이트에 잡힌 실루엣. 기타 케이스를 멘 남자와, 그 옆에 앉은 개 한 마리. 남자가 엄지를 든다. 개는 꼬리를 흔든다. 이 시국에 밤길에서 엄지를 드는 배짱이라니.
npc_jaepil_2	꺼지지 않는 촛불	settlement-npc-followup	muju	9	무주 터널 안쪽. 재필이 사다리를 타고 천장의 촛불을 손보고 있다. 자세히 보니— 촛불마다 밑에 작은 이름표가 달려 있다.
npc_sundeok_2	순덕의 부탁	settlement-npc-followup	miryang	9	밀양 장터. 순덕이 좌판 아래를 뒤지다 우리를 불러 세웠다. "북쪽 간다 했지. …수원, 지나가나?" 꺼낸 건 낡은 사진 한 장. 활을 멘 청년이 성벽 위에서 어색하게 웃고 있다.
cell_sotgot_meet	솥의 금자	resistance-cell	gwangju	8	광주 대인시장 국밥집. 금자 이모가 커다란 솥에 국물을 붓다가 우리를 보고 국자를 흔든다. "어이구 왔는가! …아니 잠깐. 자네들, 이음망이 말한 그 달구지제? 앉아 앉아. 밥부터."
ev_container_port	봉인된 컨테이너	special-node-scene	pyeongtaek	8	평택 항구도로. 컨테이너가 산맥처럼 쌓였다. 전부 정부 봉인 스티커가 붙은 채로. "정리 대상 — 개봉 금지." 오래전 날짜. 천리안의 글씨체다. 봉인 하나가 살짝 뜯겨 있다.
npc_miyoung_2	서문의 외상 장부	settlement-npc-followup	jeonju	8	전주 서문 시장. 미영이 두꺼운 공책을 넘기고 있다. 표지에 「외상」. "요즘 세상에 외상이요?" 물으니 미영이 씩 웃었다.
cell_sea_meet	해도의 김 선장	resistance-cell	busan,yeosu,mokpo,pohang,ulsan	6	항구 방파제. 소금기에 전 노인이 낡은 어선 앞에서 그물을 손질하고 있다. 우리를 위아래로 훑더니, 대뜸. "육지 것들이구먼. …이음망에서 얘기 들었나? 달구지라 그랬는데."
granny_arrive	도착한 사람	other	suwon,pyeongtaek	6	수원 성곽 어귀, 낯익은 경운기가 세워져 있다. 짐칸이 비었다. 시장통에서 그 할머니가— 앞치마를 두르고 국수를 말고 있다. 옆에서 청년 하나가 서툰 손으로 고명을 얹는 중이다. "왔는가!" 할머니가 국자를 든 채 환하게 웃었다. "내 손주야. 인사해라, 이 젊은이들이 네 할미 은인이다."
lc_daegu_makchang	막창 골목의 불	local-culture	daegu	6	대구 외곽, 어둠 속에서 숯불 냄새가 차를 습격한다. 포장마차 하나가 영업 중이다. "막창 굽습니더. 고철 받고예." 연기가 신호탄처럼 오른다. 이건 도저히 그냥 못 지나간다.
lc_daejeon_bakery	빵집의 전설	local-culture	daejeon	6	대전역 앞, 전국에서 제일 유명했던 빵집의 폐허. 셔터에 누가 분필로 적어놨다. "튀김소보로의 명복을 빕니다. 다시는 이런 빵 없다." 그 아래 답글들. "인정" "줄 서서 먹던 시절이 그립다" "레시피 아시는 분 계승 바람"
lc_mokpo_hongeo	홍어 입문 시험	local-culture	mokpo	6	목포 골목의 좌판. 아짐이 접시를 내민다. "묵어봤능가? 삭힌 거. 목포 왔으면 통과의례여." 접시에서 존재감이 강력한 냄새가 올라온다. 차 안의 시선이 서로를 향한다. 누가 먼저?
lc_nonsan_camp	훈련소 정문	local-culture	nonsan	6	논산 훈련소 정문 앞. 강우가 창밖을 오래 본다. "…스물둘에 저 문으로 들어갔다. 머리 밀고. 엄마가 울고." 정문 안쪽 연병장엔 잡초가 도열해 있다.
near_miryang_ice	얼음골	regional-landmark	miryang	6	한여름인데 계곡 바위틈에서 찬바람이 새어 나온다. 밀양 얼음골이다. 바위 밑에 손을 넣으면— 진짜 얼음이 만져진다. 냉장고가 죽은 세상에서, 산이 냉장고를 하고 있다.
npc_taeho_2	돔의 규칙	settlement-npc-followup	daegu	6	돔 시장에서 태호가 순찰을 돌다 우리 정차 자리 곁에 멈췄다. "규칙은 하나야. 시장 안에선 싸우지 마라. …왜 하난지 아나?"
cell_ghost_meet	유령	resistance-cell	daejeon,sejong	5	폐 통신국. 안에 사람이 있는 것 같은데 보이지 않는다. 스피커에서만 목소리가 난다. "거기 서. 얼굴은 됐고. …이음망 코드 대." 한별이 알려준 문구를 말하자, 스피커가 잠깐 조용하더니 웃었다. "통과. 우린 유령이야. 천리안한테 안 보이는 게 일이거든."
cell_sea_2	해도의 전언	resistance-cell	gunsan,pyeongtaek,mokpo	5	서해안 포구. 낯선 어선이 우리를 보고 뱃고동을 두 번 울렸다. 김 선장의 신호다(해도의 배는 다 안다). 젊은 뱃사람이 방수 꾸러미를 던지며 외쳤다. "선장님이! 북쪽 소식 전하래요!"
ev_fog_pass	고갯마루 안개	special-node-scene	daegwallyeong	5	대관령. 안개가 우유처럼 짙다. 3미터 앞 가드레일도 안 보인다. 낭떠러지가 어느 쪽인지 감이 안 온다. 잘못 밟으면 그대로 끝이다.
ev_lighthouse_visit	등대	special-node-scene	lighthouse	5	바닷가 흰 등대. 불은 꺼졌지만 등탑은 온전하다. 나선 계단을 오르니 등대지기의 방. 항해일지가 책상에 펼쳐져 있다. 마지막 장. "오늘도 배는 오지 않았다. 그래도 불은 켠다."
